round,rmse_val,rmse_train,mae_val,mae_train
0,11.606411126293809,11.625963307879122,8.491779252930913,8.432274309802446
1,10.692621928067574,10.78946311359966,8.341349570795959,8.49839475546308
2,10.369468339745696,10.473524346818417,8.048160253031682,8.202180359895051
3,10.315773130280613,10.462691096839,8.160506324668502,8.38535234824635
4,10.085412042092916,10.233584515071147,7.936333384562563,8.151131873548943
5,9.798736371990099,9.925128554908463,7.580926231291446,7.742968947429721
6,9.80703250104161,9.955766743188418,7.660979694865283,7.861156316037171
7,9.761715664061073,9.916201349622359,7.630645606800371,7.842117977010199
8,9.68813607698158,9.840403503166254,7.564888896408498,7.770674915193852
9,9.556374296199994,9.698623495204252,7.4236856684467005,7.609711403438866
10,9.470082556801716,9.608160066144029,7.331856419194187,7.503922467528295
11,9.441669212540601,9.578985211755763,7.323235893123444,7.497558125310441
12,9.34853892854481,9.473885041362388,7.205234612874912,7.357050284842787
13,9.307782809950753,9.431288607663042,7.179718790522777,7.329809835184442
14,9.324548532744037,9.456188172009124,7.2301846307903785,7.39696751582864
15,9.274111371593458,9.394823667109899,7.178996749075393,7.332553052126207
16,9.213394835372142,9.334157522695234,7.120908346945089,7.272408184192348
17,9.178364099793225,9.302330933689852,7.107728772564515,7.262188438353244
18,9.123990878452162,9.243552289895774,7.048686644772751,7.19634332571779
19,9.08607326259893,9.215272189884619,7.034657970638055,7.193691613608629
20,9.010632038869213,9.125317380245447,6.914311585110445,7.046594922590492
21,9.001375335950312,9.116482340633441,6.954722878666132,7.098911037147952
22,8.937286616883819,9.051780620160969,6.889035024623605,7.029639065153862
23,8.924994012562603,9.044642050523617,6.934771428804454,7.08802544500381
24,8.84088357328142,8.959277486236658,6.855451897013308,7.004936114595351
25,8.756271323265896,8.867370414851584,6.713481860806209,6.843594490803515
26,8.732738610788573,8.844756879222235,6.723746428605009,6.85864000037991
27,8.78882755598438,8.875039181256689,6.60391502851084,6.684244166242559
28,8.677291085337464,8.785029155888854,6.691100530835697,6.821742292127354
29,8.630488560989594,8.744817539539337,6.691039362316897,6.828896207429111
30,8.557471308137613,8.6636405621602,6.537936608960754,6.659592110155101
31,8.536507628332211,8.646816070012221,6.589759926550987,6.720247452817217
32,8.472505914594977,8.581044829800058,6.518386694496059,6.64224388957963
33,8.447555411031615,8.550801400191672,6.428198446963882,6.539174950530715
